RAM 1426/15815MB (lfb 3406x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@45.5C GPU@47.5C Tdiode@48.75C PMIC@100C AUX@46.5C CPU@48.5C thermal@47.25C Tboard@47C GPU 931/881 CPU 621/670 SOC 2329/2121 CV 0/0 VDDRQ 310/236 SYS5V 2250/2154
RAM 1426/15815MB (lfb 3406x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,14%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@45.5C GPU@47.5C Tdiode@48.75C PMIC@100C AUX@46.5C CPU@48.5C thermal@47.25C Tboard@47C GPU 931/882 CPU 621/669 SOC 2329/2125 CV 0/0 VDDRQ 310/237 SYS5V 2250/2156
RAM 1426/15815MB (lfb 3406x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@45.5C GPU@47.5C Tdiode@48.75C PMIC@100C AUX@46.5C CPU@48C thermal@47.25C Tboard@47C GPU 931/883 CPU 621/668 SOC 2329/2130 CV 0/0 VDDRQ 310/239 SYS5V 2250/2158
RAM 1426/15815MB (lfb 3406x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@45.5C GPU@47.5C Tdiode@48.75C PMIC@100C AUX@46.5C CPU@48C thermal@47.25C Tboard@47C GPU 931/884 CPU 621/667 SOC 2329/2134 CV 0/0 VDDRQ 310/240 SYS5V 2250/2160
RAM 1426/15815MB (lfb 3406x4MB) SWAP 0/7907MB (cached 0MB) CPU [16%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@45.5C GPU@47.5C Tdiode@48.75C PMIC@100C AUX@46.5C CPU@48C thermal@47.25C Tboard@47C GPU 931/885 CPU 621/666 SOC 2329/2138 CV 0/0 VDDRQ 155/238 SYS5V 2250/2162
RAM 1426/15815MB (lfb 3406x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@45.5C GPU@47.5C Tdiode@48.75C PMIC@100C AUX@46.5C CPU@48C thermal@47.25C Tboard@47C GPU 931/886 CPU 621/665 SOC 2329/2142 CV 0/0 VDDRQ 310/240 SYS5V 2250/2164
RAM 1426/15815MB (lfb 3406x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@45.5C GPU@47.5C Tdiode@48.75C PMIC@100C AUX@46.5C CPU@48C thermal@47.25C Tboard@47C GPU 931/887 CPU 621/664 SOC 2329/2146 CV 0/0 VDDRQ 310/241 SYS5V 2250/2165
RAM 1426/15815MB (lfb 3406x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@45.5C GPU@47.5C Tdiode@48.75C PMIC@100C AUX@46.5C CPU@48C thermal@47.25C Tboard@47C GPU 931/888 CPU 621/663 SOC 2329/2149 CV 0/0 VDDRQ 310/243 SYS5V 2250/2167
RAM 1426/15815MB (lfb 3406x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@45.5C GPU@47.5C Tdiode@48.75C PMIC@100C AUX@46.5C CPU@48C thermal@47.25C Tboard@47C GPU 931/889 CPU 621/662 SOC 2329/2153 CV 0/0 VDDRQ 310/244 SYS5V 2250/2168
RAM 1426/15815MB (lfb 3406x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@45.5C GPU@47.5C Tdiode@48.75C PMIC@100C AUX@46.5C CPU@48C thermal@47.25C Tboard@47C GPU 931/890 CPU 621/662 SOC 2329/2156 CV 0/0 VDDRQ 310/245 SYS5V 2250/2170
