RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@45.5C GPU@49C Tdiode@48.25C PMIC@100C AUX@46C CPU@47.5C thermal@47C Tboard@46C GPU 5890/2140 CPU 620/620 SOC 2325/2328 CV 0/0 VDDRQ 310/279 SYS5V 2250/2250
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@45.5C GPU@49C Tdiode@48.25C PMIC@100C AUX@45.5C CPU@47.5C thermal@47C Tboard@46C GPU 5890/2212 CPU 620/620 SOC 2325/2328 CV 0/0 VDDRQ 309/280 SYS5V 2250/2250
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@45.5C GPU@49C Tdiode@48.25C PMIC@100C AUX@46C CPU@47.5C thermal@47C Tboard@46C GPU 5890/2282 CPU 620/620 SOC 2325/2328 CV 0/0 VDDRQ 309/280 SYS5V 2250/2250
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@45.5C GPU@49C Tdiode@48.25C PMIC@100C AUX@45.5C CPU@47.5C thermal@47C Tboard@46C GPU 5890/2349 CPU 620/620 SOC 2325/2327 CV 0/0 VDDRQ 309/281 SYS5V 2250/2250
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@45.5C GPU@49C Tdiode@48.25C PMIC@100C AUX@45.5C CPU@47.5C thermal@47C Tboard@46C GPU 6042/2416 CPU 620/620 SOC 2325/2327 CV 0/0 VDDRQ 309/281 SYS5V 2250/2250
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@45.5C GPU@49C Tdiode@48.25C PMIC@100C AUX@46C CPU@47.5C thermal@47C Tboard@46C GPU 6042/2481 CPU 620/620 SOC 2325/2327 CV 0/0 VDDRQ 309/282 SYS5V 2250/2250
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,16%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@45.5C GPU@49C Tdiode@48.25C PMIC@100C AUX@45.5C CPU@47.5C thermal@47C Tboard@46C GPU 6045/2543 CPU 620/620 SOC 2325/2327 CV 0/0 VDDRQ 309/282 SYS5V 2250/2250
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@45.5C GPU@49C Tdiode@48.5C PMIC@100C AUX@45.5C CPU@47.5C thermal@47C Tboard@46C GPU 6042/2603 CPU 620/620 SOC 2325/2327 CV 0/0 VDDRQ 309/283 SYS5V 2250/2250
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@45.5C GPU@49C Tdiode@48.5C PMIC@100C AUX@46C CPU@47.5C thermal@47C Tboard@46C GPU 6042/2662 CPU 620/620 SOC 2325/2327 CV 0/0 VDDRQ 309/283 SYS5V 2250/2250
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,14%@1190,14%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@45.5C GPU@49C Tdiode@48.5C PMIC@100C AUX@45.5C CPU@47.5C thermal@47C Tboard@46C GPU 6197/2721 CPU 620/620 SOC 2325/2327 CV 0/0 VDDRQ 309/284 SYS5V 2250/2250
