RAM 1255/7860MB (lfb 1353x4MB) SWAP 0/3930MB (cached 0MB) CPU [28%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0%@1600 GR3D_FREQ 0%@1122 APE 150 PLL@37.5C MCPU@37.5C PMIC@100C Tboard@34C GPU@36.5C BCPU@37.5C thermal@37.1C Tdiode@36C VDD_SYS_GPU 766/436 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/48 VDD_IN 3142/2901 VDD_SYS_CPU 229/241 VDD_SYS_DDR 725/714
RAM 1255/7860MB (lfb 1353x4MB) SWAP 0/3930MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0%@1600 GR3D_FREQ 0%@1122 APE 150 PLL@37.5C MCPU@37.5C PMIC@100C Tboard@34C GPU@36.5C BCPU@37.5C thermal@37.1C Tdiode@36C VDD_SYS_GPU 689/442 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/47 VDD_IN 3065/2905 VDD_SYS_CPU 229/241 VDD_SYS_DDR 706/714
RAM 1255/7860MB (lfb 1353x4MB) SWAP 0/3930MB (cached 0MB) CPU [33%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0%@1600 GR3D_FREQ 0%@1122 APE 150 PLL@37.5C MCPU@37.5C PMIC@100C Tboard@34C GPU@36.5C BCPU@37.5C thermal@37.1C Tdiode@36C VDD_SYS_GPU 613/445 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/46 VDD_IN 2988/2907 VDD_SYS_CPU 229/240 VDD_SYS_DDR 706/714
RAM 1255/7860MB (lfb 1353x4MB) SWAP 0/3930MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0%@1600 GR3D_FREQ 0%@1122 APE 150 PLL@37.5C MCPU@37.5C PMIC@100C Tboard@34C GPU@36.5C BCPU@37.5C thermal@37.1C Tdiode@36C VDD_SYS_GPU 536/447 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/45 VDD_IN 2912/2907 VDD_SYS_CPU 229/240 VDD_SYS_DDR 706/713
RAM 1255/7860MB (lfb 1353x4MB) SWAP 0/3930MB (cached 0MB) CPU [25%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0%@1600 GR3D_FREQ 0%@1122 APE 150 PLL@37.5C MCPU@37.5C PMIC@100C Tboard@34C GPU@36.5C BCPU@37.5C thermal@37.1C Tdiode@36C VDD_SYS_GPU 459/448 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/44 VDD_IN 2835/2905 VDD_SYS_CPU 229/240 VDD_SYS_DDR 706/713
RAM 1255/7860MB (lfb 1353x4MB) SWAP 0/3930MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0%@1600 GR3D_FREQ 0%@1122 APE 150 PLL@37.5C MCPU@37.5C PMIC@100C Tboard@34C GPU@36.5C BCPU@37.5C thermal@37.1C Tdiode@36C VDD_SYS_GPU 459/448 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/43 VDD_IN 2797/2903 VDD_SYS_CPU 229/240 VDD_SYS_DDR 706/713
RAM 1255/7860MB (lfb 1353x4MB) SWAP 0/3930MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0%@1600 GR3D_FREQ 0%@1122 APE 150 PLL@37.5C MCPU@37.5C PMIC@100C Tboard@34C GPU@36.5C BCPU@37.5C thermal@37.1C Tdiode@36C VDD_SYS_GPU 383/446 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/42 VDD_IN 2759/2900 VDD_SYS_CPU 229/240 VDD_SYS_DDR 706/713
RAM 1255/7860MB (lfb 1353x4MB) SWAP 0/3930MB (cached 0MB) CPU [25%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0%@1600 GR3D_FREQ 0%@1122 APE 150 PLL@37.5C MCPU@37.5C PMIC@100C Tboard@34C GPU@36.5C BCPU@37.5C thermal@37.1C Tdiode@36C VDD_SYS_GPU 383/445 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/41 VDD_IN 2720/2897 VDD_SYS_CPU 229/239 VDD_SYS_DDR 706/713
RAM 1255/7860MB (lfb 1353x4MB) SWAP 0/3930MB (cached 0MB) CPU [28%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0%@1600 GR3D_FREQ 0%@1122 APE 150 PLL@37.5C MCPU@37.5C PMIC@100C Tboard@34C GPU@36.5C BCPU@37.5C thermal@37.1C Tdiode@36C VDD_SYS_GPU 306/442 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/41 VDD_IN 2682/2892 VDD_SYS_CPU 229/239 VDD_SYS_DDR 706/713
RAM 1255/7860MB (lfb 1353x4MB) SWAP 0/3930MB (cached 0MB) CPU [16%@345,off,off,0%@345,14%@345,0%@345] EMC_FREQ 0%@1600 GR3D_FREQ 0%@1122 APE 150 PLL@37.5C MCPU@37.5C PMIC@100C Tboard@34C GPU@36.5C BCPU@37.5C thermal@37.1C Tdiode@36C VDD_SYS_GPU 306/440 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/40 VDD_IN 2644/2888 VDD_SYS_CPU 229/239 VDD_SYS_DDR 706/712
