RAM 1408/15815MB (lfb 3410x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@42C GPU@44.5C Tdiode@45.25C PMIC@100C AUX@43C CPU@44.5C thermal@43.9C Tboard@44C GPU 931/867 CPU 465/599 SOC 2174/2047 CV 0/0 VDDRQ 155/183 SYS5V 2250/2143
RAM 1408/15815MB (lfb 3410x4MB) SWAP 0/7907MB (cached 0MB) CPU [16%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@42C GPU@44.5C Tdiode@45.25C PMIC@100C AUX@43C CPU@45C thermal@43.9C Tboard@44C GPU 931/869 CPU 465/596 SOC 2174/2050 CV 0/0 VDDRQ 155/182 SYS5V 2250/2145
RAM 1408/15815MB (lfb 3410x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,14%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@42C GPU@44C Tdiode@45.25C PMIC@100C AUX@43C CPU@44.5C thermal@43.9C Tboard@44C GPU 931/870 CPU 465/593 SOC 2174/2052 CV 0/0 VDDRQ 310/185 SYS5V 2250/2147
RAM 1408/15815MB (lfb 3410x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@42.5C GPU@44C Tdiode@45.25C PMIC@100C AUX@43C CPU@44.5C thermal@43.9C Tboard@44C GPU 931/871 CPU 465/590 SOC 2174/2055 CV 0/0 VDDRQ 310/187 SYS5V 2250/2150
RAM 1408/15815MB (lfb 3410x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@42C GPU@44C Tdiode@45.25C PMIC@100C AUX@43C CPU@44.5C thermal@43.9C Tboard@44C GPU 931/872 CPU 465/588 SOC 2174/2057 CV 0/0 VDDRQ 310/190 SYS5V 2250/2152
RAM 1408/15815MB (lfb 3410x4MB) SWAP 0/7907MB (cached 0MB) CPU [16%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@42.5C GPU@44.5C Tdiode@45.25C PMIC@100C AUX@43C CPU@44.5C thermal@43.9C Tboard@44C GPU 931/874 CPU 465/585 SOC 2174/2060 CV 0/0 VDDRQ 155/189 SYS5V 2250/2154
RAM 1408/15815MB (lfb 3410x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@42C GPU@44.5C Tdiode@45.25C PMIC@100C AUX@43C CPU@44.5C thermal@43.9C Tboard@44C GPU 931/875 CPU 465/583 SOC 2174/2062 CV 0/0 VDDRQ 310/192 SYS5V 2250/2156
RAM 1408/15815MB (lfb 3410x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@42.5C GPU@44.5C Tdiode@45.25C PMIC@100C AUX@43C CPU@44.5C thermal@43.9C Tboard@44C GPU 931/876 CPU 465/581 SOC 2174/2064 CV 0/0 VDDRQ 155/191 SYS5V 2250/2157
RAM 1408/15815MB (lfb 3410x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@42C GPU@44.5C Tdiode@45.25C PMIC@100C AUX@43C CPU@44.5C thermal@43.9C Tboard@44C GPU 931/877 CPU 465/578 SOC 2174/2066 CV 0/0 VDDRQ 155/190 SYS5V 2250/2159
RAM 1408/15815MB (lfb 3410x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,14%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@42C GPU@44.5C Tdiode@45.25C PMIC@100C AUX@43C CPU@44.5C thermal@43.9C Tboard@44C GPU 931/878 CPU 465/576 SOC 2174/2068 CV 0/0 VDDRQ 310/193 SYS5V 2250/2161
RAM 1408/15815MB (lfb 3410x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@42C GPU@44.5C Tdiode@45.5C PMIC@100C AUX@43C CPU@44.5C thermal@43.9C Tboard@44C GPU 931/879 CPU 465/574 SOC 2174/2070 CV 0/0 VDDRQ 310/195 SYS5V 2250/2163
RAM 1408/15815MB (lfb 3410x4MB) SWAP 0/7907MB (cached 0MB) CPU [16%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@42C GPU@44.5C Tdiode@45.5C PMIC@100C AUX@43C CPU@44.5C thermal@43.9C Tboard@44C GPU 931/880 CPU 465/572 SOC 2174/2072 CV 0/0 VDDRQ 310/197 SYS5V 2250/2164
