RAM 2398/15815MB (lfb 2904x4MB) SWAP 0/7907MB (cached 0MB) CPU [16%@1190,16%@1190,16%@1190,33%@1190,0%@1190,0%@1190,16%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 14% AO@39.5C GPU@41.5C Tdiode@42.75C PMIC@100C AUX@40.5C CPU@42C thermal@41.7C Tboard@41C GPU 310/310 CPU 932/1171 SOC 932/1143 CV 0/0 VDDRQ 310/310 SYS5V 1929/1988
RAM 2398/15815MB (lfb 2904x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1344,0%@1344,0%@1344,0%@1344,0%@1344,0%@1344,14%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39.5C GPU@41C Tdiode@42.75C PMIC@100C AUX@40.5C CPU@42C thermal@41.7C Tboard@41C GPU 310/310 CPU 932/1166 SOC 932/1138 CV 0/0 VDDRQ 310/310 SYS5V 1889/1986
RAM 2398/15815MB (lfb 2904x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39.5C GPU@41.5C Tdiode@42.75C PMIC@100C AUX@40.5C CPU@42C thermal@41.7C Tboard@41C GPU 310/310 CPU 932/1161 SOC 932/1134 CV 0/0 VDDRQ 310/310 SYS5V 1889/1983
RAM 2398/15815MB (lfb 2904x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39.5C GPU@41.5C Tdiode@42.75C PMIC@100C AUX@40.5C CPU@42C thermal@41.7C Tboard@41C GPU 310/310 CPU 777/1153 SOC 932/1129 CV 0/0 VDDRQ 310/310 SYS5V 1889/1981
RAM 2398/15815MB (lfb 2904x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39.5C GPU@41C Tdiode@42.75C PMIC@100C AUX@40.5C CPU@41.5C thermal@41.7C Tboard@41C GPU 310/310 CPU 777/1145 SOC 932/1125 CV 0/0 VDDRQ 310/310 SYS5V 1889/1979
RAM 2398/15815MB (lfb 2904x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,16%@1190,0%@1190,0%@1190,16%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 14% AO@39.5C GPU@41C Tdiode@42.75C PMIC@100C AUX@40.5C CPU@42C thermal@41.7C Tboard@41C GPU 310/310 CPU 777/1137 SOC 932/1121 CV 0/0 VDDRQ 310/310 SYS5V 1848/1977
RAM 2398/15815MB (lfb 2904x4MB) SWAP 0/7907MB (cached 0MB) CPU [28%@1804,0%@1804,0%@1804,0%@1804,0%@1804,0%@1804,14%@1804,0%@1804] EMC_FREQ 0% GR3D_FREQ 0% AO@39.5C GPU@41C Tdiode@42.75C PMIC@100C AUX@40.5C CPU@42C thermal@41.7C Tboard@41C GPU 310/310 CPU 777/1130 SOC 932/1118 CV 0/0 VDDRQ 310/310 SYS5V 1889/1975
RAM 2398/15815MB (lfb 2904x4MB) SWAP 0/7907MB (cached 0MB) CPU [16%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39.5C GPU@41C Tdiode@42.75C PMIC@100C AUX@40.5C CPU@42C thermal@41.7C Tboard@41C GPU 310/310 CPU 777/1123 SOC 932/1114 CV 0/0 VDDRQ 155/306 SYS5V 1889/1973
RAM 2398/15815MB (lfb 2904x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1804,20%@1804,0%@1804,0%@1804,0%@1804,0%@1804,14%@1804,0%@1804] EMC_FREQ 0% GR3D_FREQ 12% AO@39.5C GPU@41C Tdiode@42.75C PMIC@100C AUX@40.5C CPU@42C thermal@41.1C Tboard@41C GPU 310/310 CPU 777/1116 SOC 932/1110 CV 0/0 VDDRQ 310/307 SYS5V 1889/1972
RAM 2398/15815MB (lfb 2904x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39C GPU@41C Tdiode@42.75C PMIC@100C AUX@40.5C CPU@42C thermal@41.1C Tboard@41C GPU 310/310 CPU 777/1110 SOC 932/1107 CV 0/0 VDDRQ 155/304 SYS5V 1889/1970
RAM 2398/15815MB (lfb 2904x4MB) SWAP 0/7907MB (cached 0MB) CPU [16%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39C GPU@41C Tdiode@42.75C PMIC@100C AUX@40.5C CPU@41.5C thermal@41.1C Tboard@41C GPU 310/310 CPU 777/1104 SOC 932/1104 CV 0/0 VDDRQ 155/301 SYS5V 1889/1969
RAM 2398/15815MB (lfb 2904x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,14%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39.5C GPU@41C Tdiode@42.75C PMIC@100C AUX@40.5C CPU@41.5C thermal@41.1C Tboard@41C GPU 310/310 CPU 777/1098 SOC 932/1101 CV 0/0 VDDRQ 155/298 SYS5V 1848/1966
RAM 2398/15815MB (lfb 2904x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39.5C GPU@41C Tdiode@42.75C PMIC@100C AUX@40.5C CPU@41.5C thermal@41.1C Tboard@41C GPU 310/310 CPU 621/1089 SOC 932/1098 CV 0/0 VDDRQ 155/296 SYS5V 1848/1964
RAM 2398/15815MB (lfb 2904x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,14%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39.5C GPU@41C Tdiode@42.75C PMIC@100C AUX@40.5C CPU@42C thermal@41.1C Tboard@41C GPU 310/310 CPU 621/1081 SOC 932/1095 CV 0/0 VDDRQ 155/293 SYS5V 1848/1962
RAM 2398/15815MB (lfb 2904x4MB) SWAP 0/7907MB (cached 0MB) CPU [25%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,14%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39.5C GPU@41C Tdiode@43C PMIC@100C AUX@40.5C CPU@42C thermal@41.1C Tboard@41C GPU 310/310 CPU 621/1073 SOC 932/1092 CV 0/0 VDDRQ 155/291 SYS5V 1848/1960
RAM 2398/15815MB (lfb 2904x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,14%@1190] EMC_FREQ 0% GR3D_FREQ 3% AO@39.5C GPU@41C Tdiode@43C PMIC@100C AUX@40.5C CPU@42C thermal@41.1C Tboard@41C GPU 310/310 CPU 777/1068 SOC 932/1089 CV 0/0 VDDRQ 155/288 SYS5V 1848/1958
RAM 2398/15815MB (lfb 2904x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1344,0%@1344,0%@1344,0%@1344,0%@1344,0%@1190,28%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 12% AO@39C GPU@41C Tdiode@43C PMIC@100C AUX@40.5C CPU@42C thermal@41.1C Tboard@41C GPU 310/310 CPU 777/1063 SOC 932/1087 CV 0/0 VDDRQ 155/286 SYS5V 1889/1957
