Frequency: Avg: 3887.0, Core 0: 3886.3, Core 1: 3886.8, Core 2: 3887.3, Core 3: 3887.8, Temp: PackageId0,0: 89.0, Core0,0: 89.0, Core1,0: 88.0, PackageId0,1: 89.0, Core0,1: 89.0, Core1,1: 88.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 68.5, Util: Avg: 100.0, Core 0: 100.0, Core 1: 100.0, Core 2: 100.0, Core 3: 100.0, Power: package-0,0: 24.8, core,0: 22.5, uncore,0: 0, dram,0: 0.4, psys,0: 32.4, 
Frequency: Avg: 3882.5, Core 0: 3885.3, Core 1: 3882.2, Core 2: 3885.3, Core 3: 3877.1, Temp: PackageId0,0: 89.0, Core0,0: 89.0, Core1,0: 88.0, PackageId0,1: 89.0, Core0,1: 89.0, Core1,1: 88.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 68.5, Util: Avg: 86.4, Core 0: 100.0, Core 1: 100.0, Core 2: 100.0, Core 3: 50.0, Power: package-0,0: 27.4, core,0: 23.0, uncore,0: 0, dram,0: 0.4, psys,0: 37.1, 
Frequency: Avg: 3880.3, Core 0: 3882.3, Core 1: 3878.7, Core 2: 3882.6, Core 3: 3877.8, Temp: PackageId0,0: 89.0, Core0,0: 89.0, Core1,0: 88.0, PackageId0,1: 89.0, Core0,1: 89.0, Core1,1: 88.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 68.5, Util: Avg: 100.0, Core 0: 100.0, Core 1: 100.0, Core 2: 100.0, Core 3: 100.0, Power: package-0,0: 26.2, core,0: 20.9, uncore,0: 0, dram,0: 0.5, psys,0: 37.6, 
Frequency: Avg: 3874.4, Core 0: 3867.2, Core 1: 3876.9, Core 2: 3876.7, Core 3: 3876.8, Temp: PackageId0,0: 89.0, Core0,0: 89.0, Core1,0: 88.0, PackageId0,1: 89.0, Core0,1: 89.0, Core1,1: 88.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 68.5, Util: Avg: 83.3, Core 0: 40.0, Core 1: 100.0, Core 2: 100.0, Core 3: 100.0, Power: package-0,0: 27.6, core,0: 22.9, uncore,0: 0, dram,0: 0.4, psys,0: 37.3, 
Frequency: Avg: 3886.6, Core 0: 3885.9, Core 1: 3886.4, Core 2: 3886.9, Core 3: 3887.4, Temp: PackageId0,0: 89.0, Core0,0: 89.0, Core1,0: 89.0, PackageId0,1: 89.0, Core0,1: 89.0, Core1,1: 89.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 68.5, Util: Avg: 100.0, Core 0: 100.0, Core 1: 100.0, Core 2: 100.0, Core 3: 100.0, Power: package-0,0: 22.1, core,0: 20.9, uncore,0: 0, dram,0: 0.4, psys,0: 41.7, 
Frequency: Avg: 3873.8, Core 0: 3871.0, Core 1: 3874.3, Core 2: 3875.6, Core 3: 3874.5, Temp: PackageId0,0: 89.0, Core0,0: 89.0, Core1,0: 89.0, PackageId0,1: 89.0, Core0,1: 89.0, Core1,1: 89.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 68.5, Util: Avg: 88.9, Core 0: 50.0, Core 1: 100.0, Core 2: 100.0, Core 3: 100.0, Power: package-0,0: 27.6, core,0: 23.3, uncore,0: 0, dram,0: 0.4, psys,0: 37.6, 
Frequency: Avg: 3870.9, Core 0: 3870.0, Core 1: 3870.7, Core 2: 3871.2, Core 3: 3871.8, Temp: PackageId0,0: 89.0, Core0,0: 89.0, Core1,0: 89.0, PackageId0,1: 89.0, Core0,1: 89.0, Core1,1: 89.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 68.5, Util: Avg: 100.0, Core 0: 100.0, Core 1: 100.0, Core 2: 100.0, Core 3: 100.0, Power: package-0,0: 25.8, core,0: 19.0, uncore,0: 0, dram,0: 0.5, psys,0: 36.7, 
Frequency: Avg: 3874.8, Core 0: 3879.4, Core 1: 3875.5, Core 2: 3879.0, Core 3: 3865.4, Temp: PackageId0,0: 89.0, Core0,0: 89.0, Core1,0: 89.0, PackageId0,1: 89.0, Core0,1: 89.0, Core1,1: 89.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 68.5, Util: Avg: 91.7, Core 0: 100.0, Core 1: 100.0, Core 2: 100.0, Core 3: 80.0, Power: package-0,0: 27.1, core,0: 22.7, uncore,0: 0, dram,0: 0.4, psys,0: 34.0, 
Frequency: Avg: 3867.6, Core 0: 3866.8, Core 1: 3867.4, Core 2: 3867.9, Core 3: 3868.5, Temp: PackageId0,0: 89.0, Core0,0: 89.0, Core1,0: 88.0, PackageId0,1: 89.0, Core0,1: 89.0, Core1,1: 88.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 68.5, Util: Avg: 95.7, Core 0: 80.0, Core 1: 100.0, Core 2: 100.0, Core 3: 100.0, Power: package-0,0: 23.4, core,0: 23.0, uncore,0: 0, dram,0: 0.4, psys,0: 42.0, 
Frequency: Avg: 3877.6, Core 0: 3877.0, Core 1: 3878.5, Core 2: 3878.5, Core 3: 3876.4, Temp: PackageId0,0: 89.0, Core0,0: 89.0, Core1,0: 88.0, PackageId0,1: 89.0, Core0,1: 89.0, Core1,1: 88.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 68.5, Util: Avg: 95.7, Core 0: 100.0, Core 1: 100.0, Core 2: 100.0, Core 3: 80.0, Power: package-0,0: 26.6, core,0: 22.4, uncore,0: 0, dram,0: 0.4, psys,0: 36.7, 
