RAM 2036/15815MB (lfb 3228x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,16%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@41C GPU@44C Tdiode@44.25C PMIC@100C AUX@41.5C CPU@43.5C thermal@42.7C Tboard@42C GPU 4185/3632 CPU 620/634 SOC 2325/2325 CV 0/0 VDDRQ 309/309 SYS5V 2290/2290
RAM 2036/15815MB (lfb 3228x4MB) SWAP 0/7907MB (cached 0MB) CPU [16%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@41C GPU@44C Tdiode@44.25C PMIC@100C AUX@41.5C CPU@43.5C thermal@42.7C Tboard@42C GPU 4030/3641 CPU 620/633 SOC 2325/2325 CV 0/0 VDDRQ 309/309 SYS5V 2290/2290
RAM 2036/15815MB (lfb 3228x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,16%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@40.5C GPU@44C Tdiode@44.25C PMIC@100C AUX@41.5C CPU@43C thermal@42.7C Tboard@42C GPU 4030/3649 CPU 620/633 SOC 2325/2325 CV 0/0 VDDRQ 309/309 SYS5V 2290/2290
RAM 2036/15815MB (lfb 3228x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@41C GPU@44C Tdiode@44C PMIC@100C AUX@41.5C CPU@43C thermal@42.7C Tboard@42C GPU 4030/3657 CPU 620/633 SOC 2325/2325 CV 0/0 VDDRQ 309/309 SYS5V 2290/2290
RAM 2036/15815MB (lfb 3228x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 98% AO@40.5C GPU@44C Tdiode@44C PMIC@100C AUX@41.5C CPU@43C thermal@42.7C Tboard@42C GPU 4030/3665 CPU 620/632 SOC 2325/2325 CV 0/0 VDDRQ 309/309 SYS5V 2290/2290
RAM 2036/15815MB (lfb 3228x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 98% AO@41C GPU@44C Tdiode@44C PMIC@100C AUX@41.5C CPU@43C thermal@42.7C Tboard@42C GPU 4030/3672 CPU 620/632 SOC 2325/2325 CV 0/0 VDDRQ 310/309 SYS5V 2290/2290
RAM 2036/15815MB (lfb 3228x4MB) SWAP 0/7907MB (cached 0MB) CPU [16%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,16%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@41C GPU@44C Tdiode@44C PMIC@100C AUX@41.5C CPU@43C thermal@42.7C Tboard@42C GPU 4030/3679 CPU 620/632 SOC 2325/2325 CV 0/0 VDDRQ 310/309 SYS5V 2290/2290
RAM 2036/15815MB (lfb 3228x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,14%@1190,16%@1190,16%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@40.5C GPU@44C Tdiode@44C PMIC@100C AUX@41.5C CPU@43.5C thermal@42.7C Tboard@42C GPU 4030/3686 CPU 620/632 SOC 2325/2325 CV 0/0 VDDRQ 309/309 SYS5V 2290/2290
RAM 2036/15815MB (lfb 3228x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1344,0%@1344,0%@1344,0%@1344,0%@1344,0%@1344,0%@1344,0%@1344] EMC_FREQ 0% GR3D_FREQ 99% AO@40.5C GPU@44C Tdiode@44C PMIC@100C AUX@41.5C CPU@43.5C thermal@42.7C Tboard@42C GPU 4030/3693 CPU 620/631 SOC 2325/2325 CV 0/0 VDDRQ 309/309 SYS5V 2290/2290
RAM 2036/15815MB (lfb 3228x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,14%@1190,0%@1190,0%@1190,0%@1190,14%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@40.5C GPU@44C Tdiode@44C PMIC@100C AUX@41.5C CPU@43.5C thermal@42.7C Tboard@42C GPU 4030/3699 CPU 620/631 SOC 2325/2325 CV 0/0 VDDRQ 309/309 SYS5V 2290/2290
RAM 2036/15815MB (lfb 3228x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@41C GPU@44C Tdiode@44C PMIC@100C AUX@41.5C CPU@43C thermal@42.7C Tboard@42C GPU 4030/3705 CPU 620/631 SOC 2325/2325 CV 0/0 VDDRQ 309/309 SYS5V 2290/2290
RAM 2036/15815MB (lfb 3228x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@40.5C GPU@44C Tdiode@44C PMIC@100C AUX@41.5C CPU@43.5C thermal@42.7C Tboard@42C GPU 4030/3711 CPU 620/631 SOC 2325/2325 CV 0/0 VDDRQ 309/309 SYS5V 2290/2290
RAM 2036/15815MB (lfb 3228x4MB) SWAP 0/7907MB (cached 0MB) CPU [16%@1267,0%@1267,0%@1267,0%@1267,0%@1267,0%@1267,0%@1267,0%@1267] EMC_FREQ 0% GR3D_FREQ 99% AO@40.5C GPU@44C Tdiode@44C PMIC@100C AUX@41.5C CPU@43C thermal@42.55C Tboard@42C GPU 4030/3717 CPU 620/631 SOC 2325/2325 CV 0/0 VDDRQ 309/309 SYS5V 2290/2290
RAM 2036/15815MB (lfb 3228x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 98% AO@40.5C GPU@44C Tdiode@44C PMIC@100C AUX@41.5C CPU@43C thermal@42.55C Tboard@42C GPU 4030/3722 CPU 620/630 SOC 2325/2325 CV 0/0 VDDRQ 310/309 SYS5V 2290/2290
