RAM 1435/15815MB (lfb 3403x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39C GPU@41.5C Tdiode@42.25C PMIC@100C AUX@40C CPU@41.5C thermal@40.9C Tboard@41C GPU 1552/1399 CPU 465/490 SOC 2174/2173 CV 0/0 VDDRQ 155/248 SYS5V 2250/2235
RAM 1435/15815MB (lfb 3403x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39.5C GPU@41.5C Tdiode@42.25C PMIC@100C AUX@40C CPU@41.5C thermal@40.9C Tboard@41C GPU 1397/1399 CPU 465/489 SOC 2174/2173 CV 0/0 VDDRQ 310/249 SYS5V 2210/2235
RAM 1435/15815MB (lfb 3403x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39C GPU@41.5C Tdiode@42.25C PMIC@100C AUX@40C CPU@41.5C thermal@40.9C Tboard@41C GPU 1397/1399 CPU 465/489 SOC 2174/2173 CV 0/0 VDDRQ 310/250 SYS5V 2250/2235
RAM 1435/15815MB (lfb 3403x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,14%@1190,14%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39C GPU@41C Tdiode@42.25C PMIC@100C AUX@40C CPU@41.5C thermal@40.9C Tboard@41C GPU 1242/1396 CPU 465/488 SOC 2174/2173 CV 0/0 VDDRQ 310/251 SYS5V 2250/2235
RAM 1435/15815MB (lfb 3403x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39C GPU@41C Tdiode@42.25C PMIC@100C AUX@40C CPU@41.5C thermal@40.9C Tboard@41C GPU 1242/1393 CPU 465/488 SOC 2174/2173 CV 0/0 VDDRQ 310/252 SYS5V 2250/2235
RAM 1435/15815MB (lfb 3403x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39.5C GPU@41C Tdiode@42.25C PMIC@100C AUX@39.5C CPU@41.5C thermal@40.9C Tboard@41C GPU 1242/1390 CPU 465/487 SOC 2174/2173 CV 0/0 VDDRQ 310/253 SYS5V 2250/2236
RAM 1435/15815MB (lfb 3403x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39C GPU@41C Tdiode@42.25C PMIC@100C AUX@40C CPU@41.5C thermal@40.9C Tboard@41C GPU 1087/1385 CPU 465/487 SOC 2174/2173 CV 0/0 VDDRQ 310/254 SYS5V 2210/2235
RAM 1435/15815MB (lfb 3403x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39C GPU@41C Tdiode@42.25C PMIC@100C AUX@39.5C CPU@41.5C thermal@40.9C Tboard@41C GPU 1087/1380 CPU 465/487 SOC 2174/2173 CV 0/0 VDDRQ 310/255 SYS5V 2210/2235
RAM 1435/15815MB (lfb 3403x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39C GPU@41C Tdiode@42.25C PMIC@100C AUX@39.5C CPU@41.5C thermal@40.9C Tboard@41C GPU 1087/1375 CPU 465/486 SOC 2174/2173 CV 0/0 VDDRQ 155/253 SYS5V 2250/2235
RAM 1435/15815MB (lfb 3403x4MB) SWAP 0/7907MB (cached 0MB) CPU [25%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,14%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39C GPU@41C Tdiode@42.25C PMIC@100C AUX@39.5C CPU@41C thermal@40.9C Tboard@41C GPU 1087/1370 CPU 465/486 SOC 2174/2173 CV 0/0 VDDRQ 155/252 SYS5V 2250/2235
RAM 1435/15815MB (lfb 3403x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39C GPU@41C Tdiode@42.25C PMIC@100C AUX@39.5C CPU@41.5C thermal@40.9C Tboard@41C GPU 1087/1365 CPU 465/485 SOC 2174/2173 CV 0/0 VDDRQ 310/253 SYS5V 2250/2236
