RAM 1475/15815MB (lfb 3374x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@39C GPU@42C Tdiode@42.25C PMIC@100C AUX@39.5C CPU@41.5C thermal@40.85C Tboard@41C GPU 3412/1311 CPU 465/567 SOC 2171/2173 CV 0/0 VDDRQ 310/264 SYS5V 2250/2232
RAM 1475/15815MB (lfb 3374x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@39.5C GPU@42C Tdiode@42.5C PMIC@100C AUX@40C CPU@41.5C thermal@40.85C Tboard@41C GPU 3568/1361 CPU 465/565 SOC 2171/2173 CV 0/0 VDDRQ 310/265 SYS5V 2250/2233
RAM 1475/15815MB (lfb 3374x4MB) SWAP 0/7907MB (cached 0MB) CPU [16%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@39C GPU@42C Tdiode@42.5C PMIC@100C AUX@39.5C CPU@41.5C thermal@40.85C Tboard@41C GPU 3568/1409 CPU 465/563 SOC 2171/2173 CV 0/0 VDDRQ 310/266 SYS5V 2250/2233
RAM 1475/15815MB (lfb 3374x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@39C GPU@42C Tdiode@42.5C PMIC@100C AUX@40C CPU@41.5C thermal@40.85C Tboard@41C GPU 3723/1459 CPU 465/561 SOC 2171/2173 CV 0/0 VDDRQ 310/267 SYS5V 2250/2233
RAM 1475/15815MB (lfb 3374x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,14%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@39.5C GPU@42.5C Tdiode@42.5C PMIC@100C AUX@40C CPU@41.5C thermal@40.85C Tboard@41C GPU 3723/1506 CPU 465/559 SOC 2171/2173 CV 0/0 VDDRQ 310/268 SYS5V 2250/2234
RAM 1475/15815MB (lfb 3374x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@39.5C GPU@42.5C Tdiode@42.5C PMIC@100C AUX@40C CPU@41.5C thermal@40.85C Tboard@41C GPU 3878/1554 CPU 465/557 SOC 2171/2173 CV 0/0 VDDRQ 310/268 SYS5V 2250/2234
RAM 1475/15815MB (lfb 3374x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@39.5C GPU@42C Tdiode@42.5C PMIC@100C AUX@39.5C CPU@41.5C thermal@40.85C Tboard@41C GPU 3878/1601 CPU 465/555 SOC 2171/2173 CV 0/0 VDDRQ 310/269 SYS5V 2250/2234
RAM 1475/15815MB (lfb 3374x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@39.5C GPU@42.5C Tdiode@42.5C PMIC@100C AUX@39.5C CPU@41.5C thermal@40.85C Tboard@41C GPU 3878/1645 CPU 465/553 SOC 2171/2173 CV 0/0 VDDRQ 310/270 SYS5V 2250/2235
RAM 1475/15815MB (lfb 3374x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@39C GPU@42.5C Tdiode@42.5C PMIC@100C AUX@39.5C CPU@41.5C thermal@40.85C Tboard@41C GPU 4033/1691 CPU 465/551 SOC 2171/2173 CV 0/0 VDDRQ 310/271 SYS5V 2250/2235
RAM 1475/15815MB (lfb 3374x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@39C GPU@42C Tdiode@42.5C PMIC@100C AUX@39.5C CPU@41.5C thermal@40.85C Tboard@41C GPU 4033/1735 CPU 465/550 SOC 2171/2173 CV 0/0 VDDRQ 310/271 SYS5V 2250/2235
